date, pm25, pm10, o3, no2, so2, co
2023/9/10, 67, 20, 53, 11, 2, 5
2023/9/11, 62, 17, 25, 13, 2, 5
2023/9/12, 54, 15, 30, 18, 2, 3
2023/9/13, 43, 9, 27, 10, 2, 2
2023/9/14, 12, 9, 27, 12, 2, 2
2023/9/15, 15, 9, 26, 12, 2, 3
2023/9/16, 19, 13, 47, 10, 2, 2
2023/9/17, 34, 19, 40, 14, 3, 3
2023/9/18, 46, 33, 36, 12, 3, 3
2023/9/19, 66, 21, 31, 13, 2, 3
2023/9/20, 52, 10, 26, 10, 2, 2
2023/9/21, 15, 19, 29, 17, 3, 2
2023/9/22, 32, 18, 30, 15, 3, 2
2023/9/23, 30, 11, 30, 7, 2, 1
2023/9/24, 14, 13, 26, 15, 2, 3
2023/9/25, 11, 5, 18, 14, 2, 5
2023/9/26, 7, 8, 25, 13, 2, 5
2023/9/27, 20, 42, 58, 10, 2, 8
2023/9/28, 88, 28, 40, 12, 2, 5
2023/9/29, 48, 26, 45, 12, 3, 4
2023/9/30, 44, 25, 32, 9, 3, 3
2023/4/1, 115, 40, 49, 25, 4, 3
2023/4/2, 83, 43, 56, 30, , 4
2023/4/3, 89, 34, 37, 23, 4, 4
2023/4/4, 67, 15, 35, 15, 2, 5
2023/4/5, 40, 42, 37, 18, , 10
2023/4/6, 105, 62, 35, 19, 3, 6
2023/4/7, 109, 38, 34, 12, 3, 3
2023/4/8, 37, 54, 45, 17, 4, 5
2023/4/9, 60, 45, 48, 26, 3, 7
2023/4/10, 67, 49, 34, 19, 2, 3
2023/4/11, 66, 192, 33, 18, 3, 5
2023/4/12, 107, 129, 29, 29, 4, 6
2023/4/13, 108, 73, 42, 32, 4, 7
2023/4/14, 86, 51, 32, 22, 2, 6
2023/4/15, 76, 80, 37, 13, 2, 6
2023/4/17, 94, 38, 32, 19, 2, 3
2023/4/18, 65, 32, 55, 21, 2, 3
2023/4/19, 55, 23, 34, 17, 2, 2
2023/4/20, 47, 48, 38, 13, 2, 1
2023/4/21, 50, 49, 36, 11, 2, 1
2023/4/22, 48, 45, 41, 14, 3, 2
2023/4/23, 54, 48, 43, 12, 3, 2
2023/4/24, 55, 30, 35, 21, 3, 3
2023/4/25, 53, 25, 32, 12, , 4
2023/4/26, 51, 37, 51, 25, 4, 5
2023/4/27, 68, 33, 45, 26, 3, 4
2023/4/28, 57, 23, 35, 14, 2, 3
2023/4/29, 47, 35, 47, 10, 2, 3
2023/4/30, 48, 42, 42, 12, 2, 4
2023/5/1, 58, 29, 47, 24, 3, 4
2023/5/2, 42, 37, 53, 22, 3, 4
2023/5/3, 58, 41, 47, 16, 2, 3
2023/5/4, 71, 9, 29, 11, , 3
2023/5/5, 18, 10, 35, 9, , 3
2023/5/6, 31, 28, 35, 11, 2, 3
2023/5/7, 74, 29, 46, 21, 3, 5
2023/5/8, 69, 54, 64, 31, 3, 5
2023/5/9, 83, 50, 62, 25, 3, 4
2023/5/10, 86, 46, 83, 20, 4, 4
2023/5/11, 76, 49, 58, 29, 5, 5
